"","temperatuurklasse","sneeuwtype","lawine_alarm"
"161","hoog","droog","licht"
"162","laag","droog","licht"
"163","gemiddeld","nat","licht"
"164","laag","nat","licht"
"165","laag","nat","sterk"
"166","gemiddeld","droog","licht"
"167","hoog","nat","licht"
"168","hoog","droog","sterk"
"169","gemiddeld","droog","licht"
"170","hoog","droog","licht"
"171","gemiddeld","droog","licht"
"172","laag","nat","sterk"
"173","laag","nat","licht"
"174","hoog","nat","licht"
"175","hoog","nat","licht"
"176","laag","droog","licht"
"177","gemiddeld","droog","licht"
"178","gemiddeld","nat","licht"
"179","gemiddeld","nat","licht"
"180","laag","nat","licht"
"181","hoog","droog","licht"
"182","hoog","droog","sterk"
"183","laag","droog","licht"
"184","gemiddeld","droog","licht"
"185","laag","nat","licht"
"186","hoog","droog","licht"
"187","laag","droog","licht"
"188","gemiddeld","nat","licht"
"189","laag","droog","licht"
"190","gemiddeld","droog","licht"
"191","gemiddeld","droog","licht"
"192","hoog","droog","licht"
"193","hoog","droog","licht"
"194","laag","droog","sterk"
"195","hoog","droog","licht"
"196","gemiddeld","droog","licht"
"197","hoog","droog","sterk"
"198","laag","droog","sterk"
"199","hoog","nat","sterk"
"200","laag","droog","sterk"
"201","hoog","droog","licht"
"202","hoog","droog","licht"
"203","gemiddeld","nat","sterk"
"204","hoog","droog","licht"
"205","hoog","droog","sterk"
"206","gemiddeld","nat","licht"
"207","gemiddeld","droog","licht"
"208","hoog","nat","licht"
"209","hoog","droog","licht"
"210","gemiddeld","droog","sterk"
"211","laag","droog","sterk"
"212","hoog","nat","sterk"
"213","laag","droog","licht"
"214","laag","droog","sterk"
"215","laag","droog","licht"
"216","hoog","nat","licht"
"217","gemiddeld","droog","licht"
"218","laag","droog","sterk"
"219","laag","droog","licht"
"220","hoog","droog","licht"
"221","hoog","nat","licht"
"222","hoog","droog","licht"
"223","hoog","nat","licht"
"224","gemiddeld","nat","licht"
"225","laag","nat","licht"
"226","gemiddeld","nat","sterk"
"227","hoog","droog","licht"
"228","hoog","droog","sterk"
"229","gemiddeld","droog","licht"
"230","laag","nat","licht"
"231","hoog","droog","licht"
"232","hoog","droog","licht"
"233","hoog","droog","licht"
"234","gemiddeld","nat","licht"
"235","hoog","nat","licht"
"236","gemiddeld","droog","licht"
"237","gemiddeld","droog","licht"
"238","gemiddeld","nat","sterk"
"239","gemiddeld","nat","licht"
"240","gemiddeld","nat","licht"
"241","hoog","droog","licht"
"242","gemiddeld","nat","licht"
"243","laag","nat","licht"
"244","hoog","nat","licht"
"245","gemiddeld","nat","licht"
"246","hoog","nat","licht"
"247","gemiddeld","nat","licht"
"248","hoog","nat","licht"
"249","gemiddeld","nat","licht"
"250","laag","droog","licht"
"251","laag","nat","licht"
"252","laag","droog","licht"
"253","gemiddeld","droog","sterk"
"254","gemiddeld","nat","licht"
"255","gemiddeld","nat","licht"
"256","hoog","nat","licht"
"257","hoog","nat","licht"
"258","gemiddeld","droog","licht"
"259","hoog","nat","licht"
"260","laag","nat","licht"
"261","gemiddeld","droog","licht"
"262","hoog","nat","licht"
"263","hoog","nat","sterk"
"264","laag","droog","licht"
"265","gemiddeld","nat","licht"
"266","hoog","droog","licht"
"267","hoog","nat","sterk"
"268","laag","nat","sterk"
"269","gemiddeld","droog","licht"
"270","hoog","droog","licht"
"271","hoog","nat","licht"
"272","hoog","nat","licht"
"273","hoog","droog","licht"
"274","hoog","nat","licht"
"275","hoog","nat","licht"
"276","hoog","nat","licht"
"277","hoog","nat","sterk"
"278","hoog","nat","sterk"
"279","gemiddeld","droog","licht"
"280","laag","droog","licht"
"281","hoog","nat","licht"
"282","gemiddeld","droog","sterk"
"283","laag","nat","licht"
"284","hoog","droog","licht"
"285","hoog","droog","licht"
"286","hoog","droog","licht"
"287","hoog","nat","licht"
"288","hoog","nat","licht"
"289","hoog","droog","licht"
"290","hoog","nat","licht"
"291","hoog","droog","licht"
"292","hoog","droog","licht"
"293","laag","nat","sterk"
"294","hoog","droog","licht"
"295","gemiddeld","droog","licht"
"296","gemiddeld","nat","licht"
"297","hoog","droog","licht"
"298","hoog","droog","licht"
"299","hoog","droog","licht"
"300","laag","nat","licht"
"301","gemiddeld","nat","licht"
"302","hoog","droog","sterk"
"303","gemiddeld","droog","sterk"
"304","gemiddeld","nat","licht"
"305","hoog","droog","licht"
"306","laag","droog","licht"
"307","hoog","droog","licht"
"308","laag","droog","sterk"
"309","hoog","droog","licht"
"310","gemiddeld","droog","licht"
"311","hoog","droog","licht"
"312","hoog","droog","licht"
"313","laag","nat","licht"
"314","gemiddeld","droog","licht"
"315","hoog","droog","licht"
"316","gemiddeld","nat","licht"
"317","hoog","droog","licht"
"318","hoog","droog","licht"
"319","laag","droog","licht"
"320","gemiddeld","nat","licht"
"321","gemiddeld","droog","licht"
"322","hoog","droog","licht"
"323","gemiddeld","nat","licht"
"324","laag","droog","licht"
"325","laag","droog","sterk"
"326","laag","droog","licht"
"327","laag","droog","licht"
"328","laag","droog","licht"
"329","hoog","droog","licht"
"330","laag","droog","licht"
"331","laag","droog","licht"
"332","hoog","nat","licht"
"333","hoog","nat","licht"
"334","laag","droog","licht"
"335","hoog","nat","licht"
"336","hoog","nat","licht"
"337","gemiddeld","droog","licht"
"338","hoog","droog","licht"
"339","gemiddeld","droog","licht"
"340","laag","nat","licht"
"341","laag","droog","licht"
"342","hoog","droog","licht"
"343","gemiddeld","droog","licht"
"344","hoog","nat","licht"
"345","gemiddeld","droog","licht"
"346","hoog","droog","sterk"
"347","gemiddeld","droog","sterk"
"348","hoog","nat","licht"
"349","hoog","nat","licht"
"350","gemiddeld","droog","licht"
"351","gemiddeld","nat","licht"
"352","hoog","nat","sterk"
"353","laag","nat","licht"
"354","gemiddeld","nat","licht"
"355","laag","nat","sterk"
"356","hoog","nat","licht"
"357","laag","nat","licht"
"358","hoog","nat","sterk"
"359","laag","droog","licht"
"360","gemiddeld","droog","licht"
"361","hoog","droog","licht"
"362","hoog","droog","licht"
"363","laag","droog","sterk"
"364","hoog","droog","licht"
"365","gemiddeld","droog","licht"
"366","laag","nat","sterk"
"367","hoog","droog","licht"
"368","gemiddeld","nat","licht"
"369","gemiddeld","droog","licht"
"370","gemiddeld","droog","licht"
"371","gemiddeld","droog","licht"
"372","gemiddeld","nat","licht"
"373","laag","nat","licht"
"374","hoog","droog","licht"
"375","hoog","droog","sterk"
"376","gemiddeld","nat","licht"
"377","hoog","nat","sterk"
"378","laag","nat","sterk"
"379","hoog","nat","licht"
"380","gemiddeld","droog","licht"
"381","gemiddeld","nat","licht"
"382","gemiddeld","droog","licht"
"383","gemiddeld","droog","licht"
"384","laag","droog","licht"
"385","hoog","nat","licht"
"386","hoog","droog","licht"
"387","laag","nat","licht"
"388","laag","nat","licht"
"389","hoog","droog","licht"
"390","laag","nat","licht"
"391","hoog","nat","licht"
"392","hoog","nat","licht"
"393","laag","droog","sterk"
"394","gemiddeld","droog","licht"
"395","hoog","droog","licht"
"396","hoog","droog","licht"
"397","gemiddeld","nat","licht"
"398","hoog","nat","licht"
"399","hoog","nat","licht"
"400","hoog","nat","licht"
"401","gemiddeld","droog","licht"
"402","hoog","droog","sterk"
"403","laag","nat","sterk"
"404","laag","nat","sterk"
"405","laag","nat","sterk"
"406","gemiddeld","nat","licht"
"407","hoog","nat","licht"
"408","laag","droog","licht"
"409","hoog","nat","licht"
"410","laag","nat","licht"
"411","laag","droog","sterk"
"412","hoog","droog","licht"
"413","gemiddeld","nat","licht"
"414","laag","droog","licht"
"415","gemiddeld","nat","licht"
"416","gemiddeld","droog","licht"
"417","gemiddeld","droog","licht"
"418","hoog","droog","sterk"
"419","gemiddeld","droog","licht"
"420","laag","nat","licht"
"421","gemiddeld","droog","licht"
"422","gemiddeld","droog","licht"
"423","gemiddeld","droog","licht"
"424","hoog","droog","licht"
"425","hoog","droog","licht"
"426","gemiddeld","droog","sterk"
"427","hoog","droog","sterk"
"428","laag","nat","licht"
"429","laag","nat","licht"
"430","laag","droog","licht"
"431","laag","droog","licht"
"432","hoog","nat","sterk"
"433","hoog","nat","licht"
"434","gemiddeld","nat","licht"
"435","hoog","droog","sterk"
"436","laag","droog","licht"
"437","gemiddeld","droog","licht"
"438","hoog","nat","licht"
"439","gemiddeld","nat","licht"
"440","laag","droog","licht"
"441","hoog","droog","licht"
"442","hoog","droog","sterk"
"443","gemiddeld","nat","licht"
"444","gemiddeld","droog","licht"
"445","hoog","droog","licht"
"446","gemiddeld","droog","licht"
"447","hoog","nat","licht"
"448","laag","nat","licht"
"449","hoog","droog","licht"
"450","hoog","droog","licht"
"451","laag","droog","licht"
"452","gemiddeld","nat","licht"
"453","hoog","nat","licht"
"454","hoog","nat","sterk"
"455","hoog","droog","licht"
"456","gemiddeld","nat","licht"
"457","gemiddeld","nat","licht"
"458","laag","droog","licht"
"459","gemiddeld","droog","licht"
"460","hoog","droog","licht"
"461","hoog","droog","licht"
"462","gemiddeld","nat","licht"
"463","hoog","droog","licht"
"464","gemiddeld","droog","sterk"
"465","hoog","droog","licht"
"466","laag","nat","licht"
"467","gemiddeld","droog","licht"
"468","hoog","nat","sterk"
"469","gemiddeld","droog","licht"
"470","gemiddeld","nat","licht"
"471","gemiddeld","droog","licht"
"472","laag","nat","licht"
"473","gemiddeld","droog","licht"
"474","hoog","droog","sterk"
"475","hoog","nat","licht"
"476","hoog","droog","licht"
"477","laag","droog","licht"
"478","gemiddeld","nat","licht"
"479","gemiddeld","droog","licht"
"480","gemiddeld","nat","licht"
"481","laag","droog","licht"
"482","hoog","droog","sterk"
"483","laag","droog","sterk"
"484","laag","nat","licht"
"485","gemiddeld","nat","licht"
"486","gemiddeld","droog","licht"
"487","hoog","nat","licht"
"488","hoog","nat","sterk"
"489","laag","droog","licht"
"490","hoog","droog","licht"
"491","hoog","nat","licht"
"492","laag","droog","licht"
"493","hoog","droog","licht"
"494","hoog","nat","licht"
"495","hoog","droog","licht"
"496","gemiddeld","nat","licht"
"497","gemiddeld","droog","licht"
"498","gemiddeld","nat","licht"
"499","laag","droog","licht"
"500","hoog","droog","licht"
"501","gemiddeld","nat","licht"
"502","gemiddeld","nat","licht"
"503","gemiddeld","nat","licht"
"504","gemiddeld","nat","sterk"
"505","gemiddeld","droog","licht"
"506","laag","droog","licht"
"507","gemiddeld","nat","licht"
"508","laag","droog","licht"
"509","laag","droog","sterk"
"510","gemiddeld","nat","licht"
"511","laag","droog","licht"
"512","gemiddeld","droog","sterk"
"513","hoog","droog","licht"
"514","gemiddeld","droog","licht"
"515","gemiddeld","droog","licht"
"516","hoog","nat","sterk"
"517","gemiddeld","nat","licht"
"518","gemiddeld","nat","licht"
"519","hoog","droog","licht"
"520","gemiddeld","droog","licht"
"521","laag","nat","licht"
"522","gemiddeld","droog","licht"
"523","hoog","nat","sterk"
"524","hoog","droog","sterk"
"525","hoog","nat","licht"
"526","laag","nat","licht"
"527","laag","droog","sterk"
"528","laag","droog","licht"
"529","laag","nat","sterk"
"530","laag","droog","licht"
"531","gemiddeld","droog","licht"
"532","hoog","droog","licht"
"533","hoog","nat","licht"
"534","hoog","droog","sterk"
"535","hoog","droog","licht"
"536","hoog","droog","sterk"
"537","hoog","nat","licht"
"538","hoog","droog","licht"
"539","hoog","nat","licht"
"540","gemiddeld","nat","licht"
"541","hoog","nat","licht"
"542","laag","droog","licht"
"543","gemiddeld","droog","licht"
"544","hoog","droog","licht"
"545","hoog","droog","licht"
"546","hoog","droog","licht"
"547","laag","droog","licht"
"548","hoog","nat","licht"
"549","gemiddeld","droog","licht"
"550","gemiddeld","droog","licht"
"551","laag","droog","licht"
"552","gemiddeld","nat","licht"
"553","hoog","droog","sterk"
"554","laag","nat","licht"
"555","laag","nat","sterk"
"556","hoog","nat","licht"
"557","hoog","droog","licht"
"558","hoog","nat","licht"
"559","laag","droog","sterk"
"560","laag","nat","licht"
"561","gemiddeld","nat","licht"
"562","hoog","droog","licht"
"563","hoog","nat","licht"
"564","gemiddeld","nat","licht"
"565","laag","nat","licht"
"566","gemiddeld","nat","licht"
"567","hoog","droog","licht"
"568","gemiddeld","nat","licht"
"569","hoog","nat","licht"
"570","laag","nat","licht"
"571","hoog","droog","licht"
"572","gemiddeld","nat","licht"
"573","hoog","droog","licht"
"574","hoog","droog","sterk"
"575","laag","nat","licht"
"576","gemiddeld","nat","licht"
"577","gemiddeld","nat","licht"
"578","gemiddeld","nat","licht"
"579","laag","droog","licht"
"580","gemiddeld","nat","licht"
"581","hoog","nat","licht"
"582","laag","droog","licht"
"583","gemiddeld","droog","licht"
"584","hoog","nat","licht"
"585","gemiddeld","nat","sterk"
"586","gemiddeld","droog","licht"
"587","hoog","droog","licht"
"588","gemiddeld","droog","licht"
"589","laag","droog","licht"
"590","gemiddeld","nat","licht"
"591","gemiddeld","droog","licht"
"592","hoog","nat","licht"
"593","laag","nat","licht"
"594","gemiddeld","nat","licht"
"595","laag","nat","licht"
"596","gemiddeld","droog","licht"
"597","gemiddeld","nat","licht"
"598","gemiddeld","droog","licht"
"599","hoog","nat","licht"
"600","gemiddeld","droog","licht"
"601","laag","droog","licht"
"602","laag","droog","sterk"
"603","hoog","nat","licht"
"604","gemiddeld","nat","licht"
"605","laag","nat","licht"
"606","laag","droog","licht"
"607","hoog","nat","licht"
"608","hoog","droog","licht"
"609","laag","nat","licht"
"610","hoog","droog","licht"
"611","laag","droog","sterk"
"612","hoog","nat","licht"
"613","gemiddeld","nat","licht"
"614","gemiddeld","nat","licht"
"615","gemiddeld","droog","licht"
"616","gemiddeld","droog","licht"
"617","hoog","nat","licht"
"618","hoog","nat","licht"
"619","gemiddeld","nat","licht"
"620","hoog","nat","sterk"
"621","laag","nat","licht"
"622","hoog","nat","licht"
"623","gemiddeld","nat","sterk"
"624","hoog","nat","licht"
"625","hoog","droog","sterk"
"626","gemiddeld","droog","licht"
"627","hoog","nat","licht"
"628","gemiddeld","droog","licht"
"629","gemiddeld","droog","licht"
"630","laag","droog","sterk"
"631","laag","droog","licht"
"632","hoog","droog","sterk"
"633","hoog","nat","licht"
"634","laag","nat","licht"
"635","gemiddeld","droog","licht"
"636","hoog","droog","licht"
"637","hoog","droog","licht"
"638","hoog","nat","licht"
"639","gemiddeld","nat","sterk"
"640","gemiddeld","droog","sterk"
"641","laag","nat","licht"
"642","hoog","droog","licht"
"643","laag","droog","sterk"
"644","hoog","nat","licht"
"645","laag","nat","licht"
"646","hoog","nat","sterk"
"647","hoog","droog","sterk"
"648","laag","droog","licht"
"649","gemiddeld","nat","licht"
"650","laag","nat","licht"
"651","gemiddeld","nat","licht"
"652","laag","nat","licht"
"653","hoog","nat","licht"
"654","hoog","droog","licht"
"655","gemiddeld","nat","licht"
"656","hoog","droog","licht"
"657","hoog","droog","licht"
"658","gemiddeld","droog","licht"
"659","laag","droog","sterk"
"660","laag","nat","licht"
"661","hoog","droog","licht"
"662","laag","nat","licht"
"663","hoog","droog","licht"
"664","gemiddeld","droog","licht"
"665","hoog","droog","licht"
"666","gemiddeld","droog","licht"
"667","laag","nat","licht"
"668","hoog","nat","licht"
"669","hoog","droog","sterk"
"670","gemiddeld","droog","licht"
"671","laag","nat","licht"
"672","gemiddeld","droog","sterk"
"673","laag","droog","licht"
"674","gemiddeld","droog","licht"
"675","gemiddeld","droog","licht"
"676","gemiddeld","droog","licht"
"677","hoog","nat","licht"
"678","hoog","droog","licht"
"679","hoog","nat","licht"
"680","hoog","droog","licht"
"681","laag","droog","sterk"
"682","laag","droog","licht"
"683","hoog","nat","licht"
"684","gemiddeld","nat","licht"
"685","gemiddeld","droog","licht"
"686","gemiddeld","nat","licht"
"687","hoog","nat","licht"
"688","gemiddeld","nat","licht"
"689","hoog","droog","licht"
"690","laag","nat","licht"
"691","hoog","droog","licht"
"692","gemiddeld","nat","licht"
"693","laag","nat","sterk"
"694","gemiddeld","nat","licht"
"695","gemiddeld","nat","licht"
"696","gemiddeld","droog","licht"
"697","laag","droog","sterk"
"698","hoog","droog","licht"
"699","laag","nat","licht"
"700","gemiddeld","nat","licht"
"701","laag","nat","sterk"
"702","laag","nat","licht"
"703","laag","nat","licht"
"704","gemiddeld","droog","licht"
"705","gemiddeld","nat","licht"
"706","hoog","droog","licht"
"707","gemiddeld","nat","licht"
"708","gemiddeld","droog","licht"
"709","laag","droog","licht"
"710","gemiddeld","droog","licht"
"711","gemiddeld","droog","licht"
"712","gemiddeld","droog","licht"
"713","hoog","nat","licht"
"714","laag","droog","licht"
"715","gemiddeld","droog","licht"
"716","gemiddeld","nat","licht"
"717","hoog","nat","sterk"
"718","hoog","droog","licht"
"719","gemiddeld","droog","licht"
"720","laag","droog","licht"
"721","hoog","nat","licht"
"722","gemiddeld","nat","licht"
"723","laag","nat","licht"
"724","gemiddeld","droog","licht"
"725","hoog","droog","licht"
"726","laag","droog","licht"
"727","hoog","droog","licht"
"728","gemiddeld","droog","licht"
"729","gemiddeld","nat","licht"
"730","hoog","nat","licht"
"731","gemiddeld","nat","sterk"
"732","gemiddeld","nat","licht"
"733","laag","nat","licht"
"734","hoog","droog","licht"
"735","gemiddeld","droog","licht"
"736","hoog","droog","licht"
"737","hoog","nat","licht"
"738","laag","droog","licht"
"739","hoog","droog","licht"
"740","hoog","droog","licht"
"741","hoog","droog","licht"
"742","gemiddeld","droog","licht"
"743","gemiddeld","nat","sterk"
"744","hoog","droog","licht"
"745","hoog","nat","licht"
"746","hoog","droog","licht"
"747","gemiddeld","nat","sterk"
"748","laag","droog","licht"
"749","hoog","droog","licht"
"750","gemiddeld","droog","licht"
"751","gemiddeld","droog","licht"
"752","laag","droog","licht"
"753","gemiddeld","droog","licht"
"754","hoog","nat","licht"
"755","gemiddeld","nat","sterk"
"756","hoog","nat","licht"
"757","gemiddeld","nat","licht"
"758","hoog","droog","licht"
"759","laag","droog","licht"
"760","gemiddeld","nat","sterk"
"761","laag","nat","licht"
"762","hoog","nat","licht"
"763","laag","nat","sterk"
"764","hoog","nat","licht"
"765","hoog","droog","licht"
"766","hoog","droog","licht"
"767","gemiddeld","droog","licht"
"768","gemiddeld","nat","licht"
"769","laag","droog","licht"
"770","gemiddeld","droog","licht"
"771","gemiddeld","droog","licht"
"772","laag","droog","sterk"
"773","hoog","nat","licht"
"774","laag","nat","licht"
"775","gemiddeld","droog","licht"
"776","gemiddeld","nat","licht"
"777","hoog","droog","licht"
"778","laag","droog","licht"
"779","hoog","nat","licht"
"780","laag","nat","licht"
"781","laag","droog","licht"
"782","gemiddeld","nat","licht"
"783","gemiddeld","nat","licht"
"784","gemiddeld","droog","sterk"
"785","laag","nat","licht"
"786","hoog","droog","licht"
"787","gemiddeld","nat","licht"
"788","hoog","nat","licht"
"789","gemiddeld","nat","licht"
"790","hoog","droog","licht"
"791","hoog","nat","licht"
"792","hoog","nat","licht"
"793","laag","nat","licht"
"794","hoog","droog","licht"
"795","gemiddeld","droog","licht"
"796","gemiddeld","nat","licht"
"797","hoog","droog","licht"
"798","gemiddeld","nat","licht"
"799","laag","droog","licht"
"800","hoog","droog","licht"
"801","laag","nat","licht"
"802","hoog","droog","licht"
"803","laag","droog","sterk"
"804","gemiddeld","nat","licht"
"805","hoog","droog","licht"
"806","gemiddeld","nat","licht"
"807","hoog","nat","licht"
"808","laag","droog","licht"
"809","hoog","droog","licht"
"810","hoog","nat","licht"
"811","hoog","nat","sterk"
"812","hoog","nat","licht"
"813","hoog","droog","licht"
"814","laag","droog","sterk"
"815","hoog","droog","licht"
"816","gemiddeld","nat","licht"
"817","laag","nat","licht"
"818","laag","droog","sterk"
"819","hoog","droog","licht"
"820","gemiddeld","droog","licht"
"821","hoog","droog","sterk"
"822","gemiddeld","droog","licht"
"823","gemiddeld","droog","licht"
"824","laag","nat","licht"
"825","laag","nat","sterk"
"826","hoog","nat","sterk"
"827","hoog","nat","licht"
"828","hoog","nat","licht"
"829","hoog","droog","licht"
"830","gemiddeld","nat","sterk"
"831","gemiddeld","droog","licht"
"832","laag","nat","licht"
"833","laag","droog","licht"
"834","laag","nat","licht"
"835","gemiddeld","nat","sterk"
"836","gemiddeld","droog","licht"
"837","hoog","nat","licht"
"838","laag","nat","licht"
"839","laag","nat","licht"
"840","gemiddeld","droog","licht"
"841","laag","droog","sterk"
"842","hoog","nat","licht"
"843","hoog","nat","licht"
"844","gemiddeld","droog","licht"
"845","gemiddeld","nat","licht"
"846","gemiddeld","nat","licht"
"847","hoog","nat","licht"
"848","gemiddeld","droog","licht"
"849","gemiddeld","nat","licht"
"850","hoog","nat","sterk"
"851","laag","nat","licht"
"852","gemiddeld","droog","licht"
"853","hoog","nat","sterk"
"854","laag","droog","licht"
"855","hoog","droog","licht"
"856","hoog","droog","licht"
"857","hoog","droog","licht"
"858","gemiddeld","droog","licht"
"859","hoog","nat","licht"
"860","hoog","nat","licht"
"861","hoog","nat","licht"
"862","hoog","droog","licht"
"863","gemiddeld","nat","licht"
"864","hoog","nat","licht"
"865","hoog","droog","licht"
"866","hoog","nat","licht"
"867","gemiddeld","nat","sterk"
"868","gemiddeld","nat","licht"
"869","gemiddeld","nat","licht"
"870","hoog","nat","sterk"
"871","gemiddeld","nat","licht"
"872","laag","droog","sterk"
"873","laag","nat","licht"
"874","hoog","droog","licht"
"875","gemiddeld","droog","sterk"
"876","hoog","droog","sterk"
"877","hoog","droog","licht"
"878","gemiddeld","droog","licht"
"879","gemiddeld","droog","sterk"
"880","laag","nat","licht"
"881","hoog","nat","licht"
"882","laag","droog","licht"
"883","laag","nat","sterk"
"884","laag","droog","licht"
"885","gemiddeld","nat","licht"
"886","laag","nat","sterk"
"887","laag","droog","sterk"
"888","gemiddeld","nat","licht"
"889","gemiddeld","nat","licht"
"890","hoog","nat","sterk"
"891","hoog","nat","licht"
"892","hoog","nat","licht"
"893","hoog","droog","licht"
"894","hoog","nat","licht"
"895","hoog","nat","licht"
"896","hoog","droog","licht"
"897","gemiddeld","droog","licht"
"898","hoog","nat","licht"
"899","hoog","droog","licht"
"900","hoog","droog","licht"
"901","laag","droog","licht"
"902","laag","droog","licht"
"903","hoog","droog","licht"
"904","hoog","nat","licht"
"905","hoog","nat","licht"
"906","hoog","nat","licht"
"907","hoog","droog","sterk"
"908","hoog","nat","sterk"
"909","hoog","nat","sterk"
"910","hoog","droog","licht"
"911","gemiddeld","nat","licht"
"912","laag","droog","sterk"
"913","gemiddeld","nat","licht"
"914","hoog","nat","licht"
"915","hoog","droog","licht"
"916","gemiddeld","nat","sterk"
"917","hoog","nat","licht"
"918","gemiddeld","droog","licht"
"919","gemiddeld","nat","licht"
"920","laag","droog","licht"
"921","hoog","droog","sterk"
"922","laag","nat","licht"
"923","laag","droog","licht"
"924","hoog","nat","sterk"
"925","laag","nat","sterk"
"926","laag","nat","licht"
"927","gemiddeld","droog","licht"
"928","hoog","droog","licht"
"929","gemiddeld","droog","licht"
"930","gemiddeld","nat","licht"
"931","gemiddeld","droog","licht"
